symbol,entry_time,entry_price,exit_time,exit_price,raw_return_pct,net_return_pct,resolved,bars_held,days_held,signal_volume_ratio
XLMUSDT,2022-11-21 01:00:00+00:00,0.0862,2023-01-20 00:00:00+00:00,0.084,-2.552,-2.752,False,1439,59.96,2.632
XRPUSDT,2022-11-21 01:00:00+00:00,0.3592,2022-11-24 16:00:00+00:00,0.39512,10.0,9.8,True,87,3.62,3.064
ADAUSDT,2022-11-21 01:00:00+00:00,0.3129,2023-01-09 01:00:00+00:00,0.34419000000000005,10.0,9.8,True,1176,49.0,3.252
OPUSDT,2022-11-21 01:00:00+00:00,0.839,2022-11-23 10:00:00+00:00,0.9229,10.0,9.8,True,57,2.38,2.789
NEARUSDT,2022-11-21 01:00:00+00:00,1.558,2022-11-24 03:00:00+00:00,1.7138000000000002,10.0,9.8,True,74,3.08,3.372
ETCUSDT,2022-11-21 01:00:00+00:00,18.11,2022-11-23 11:00:00+00:00,19.921,10.0,9.8,True,58,2.42,2.58
ENJUSDT,2022-11-21 02:00:00+00:00,0.2903,2022-12-03 03:00:00+00:00,0.31933,10.0,9.8,True,289,12.04,9.395
MANAUSDT,2022-11-21 02:00:00+00:00,0.3806,2022-12-02 10:00:00+00:00,0.41866000000000003,10.0,9.8,True,272,11.33,3.314
AXSUSDT,2022-11-21 02:00:00+00:00,6.41,2022-11-22 19:00:00+00:00,7.051000000000001,10.0,9.8,True,41,1.71,4.475
UNIUSDT,2022-11-21 03:00:00+00:00,5.31,2022-11-30 08:00:00+00:00,5.841,10.0,9.8,True,221,9.21,4.513
OPUSDT,2022-11-21 03:00:00+00:00,0.818,2022-11-23 09:00:00+00:00,0.8998,10.0,9.8,True,54,2.25,3.373
ADAUSDT,2022-11-21 03:00:00+00:00,0.3037,2023-01-09 01:00:00+00:00,0.33407000000000003,10.0,9.8,True,1174,48.92,3.296
TRXUSDT,2022-11-21 03:00:00+00:00,0.04994,2022-12-01 10:00:00+00:00,0.054934000000000004,10.0,9.8,True,247,10.29,3.963
ETCUSDT,2022-11-21 03:00:00+00:00,17.75,2022-11-23 05:00:00+00:00,19.525000000000002,10.0,9.8,True,50,2.08,2.597
UNIUSDT,2022-11-21 07:00:00+00:00,5.31,2022-11-30 08:00:00+00:00,5.841,10.0,9.8,True,217,9.04,2.747
ATOMUSDT,2022-11-21 08:00:00+00:00,9.087,2022-11-24 01:00:00+00:00,9.995700000000001,10.0,9.8,True,65,2.71,3.183
XLMUSDT,2022-11-21 10:00:00+00:00,0.0861,2023-01-20 09:00:00+00:00,0.0837,-2.787,-2.987,False,1439,59.96,8.425
MANAUSDT,2022-11-21 21:00:00+00:00,0.368,2022-11-24 03:00:00+00:00,0.40480000000000005,10.0,9.8,True,54,2.25,3.021
ETCUSDT,2022-11-21 21:00:00+00:00,17.95,2022-11-23 10:00:00+00:00,19.745,10.0,9.8,True,37,1.54,3.025
