symbol,entry_time,entry_price,max_high,max_rise_pct,days_to_max,reached_5pct,reached_7pct,reached_10pct
BNBUSDT,2023-08-28 10:00:00+00:00,216.4,238.1,10.028,56.67,True,True,True
BTCUSDT,2023-08-28 13:00:00+00:00,26136.54,35280.0,34.983,56.54,True,True,True
BNBUSDT,2023-08-28 13:00:00+00:00,217.8,238.1,9.32,56.54,True,True,False
ETHUSDT,2023-08-28 13:00:00+00:00,1655.39,1865.54,12.695,58.79,True,True,True
SOLUSDT,2023-08-28 13:00:00+00:00,20.62,33.9,64.403,57.96,True,True,True
XRPUSDT,2023-08-29 15:00:00+00:00,0.541,0.5866,8.429,55.88,True,True,False
ETHUSDT,2023-08-29 15:00:00+00:00,1721.28,1865.54,8.381,57.71,True,True,False
SOLUSDT,2023-08-29 15:00:00+00:00,21.73,33.9,56.006,56.88,True,True,True
BNBUSDT,2023-08-30 15:00:00+00:00,222.7,238.1,6.915,54.46,True,False,False
ETHUSDT,2023-08-30 15:00:00+00:00,1702.84,1865.54,9.555,56.71,True,True,False
SOLUSDT,2023-08-31 18:00:00+00:00,19.87,35.35,77.906,59.75,True,True,True
BNBUSDT,2023-08-31 18:00:00+00:00,217.8,238.1,9.32,53.33,True,True,False
BTCUSDT,2023-08-31 18:00:00+00:00,26329.08,35280.0,33.996,53.33,True,True,True
XRPUSDT,2023-08-31 18:00:00+00:00,0.5102,0.5866,14.975,53.75,True,True,True
ETHUSDT,2023-08-31 18:00:00+00:00,1660.16,1865.54,12.371,55.58,True,True,True
BTCUSDT,2023-09-01 16:00:00+00:00,25811.0,35280.0,36.686,52.42,True,True,True
ETHUSDT,2023-09-01 16:00:00+00:00,1634.87,1865.54,14.109,54.67,True,True,True
BNBUSDT,2023-09-01 18:00:00+00:00,212.0,238.1,12.311,52.33,True,True,True
ETHUSDT,2023-09-05 05:00:00+00:00,1622.63,1875.0,15.553,57.92,True,True,True
BTCUSDT,2023-09-06 18:00:00+00:00,25860.0,35984.99,39.153,56.33,True,True,True
BNBUSDT,2023-09-06 18:00:00+00:00,216.5,245.0,13.164,59.54,True,True,True
ETHUSDT,2023-09-06 18:00:00+00:00,1646.24,1912.67,16.184,59.96,True,True,True
SOLUSDT,2023-09-06 18:00:00+00:00,19.64,46.9,138.798,56.0,True,True,True
XRPUSDT,2023-09-06 18:00:00+00:00,0.5023,0.6546,30.321,59.71,True,True,True
SOLUSDT,2023-09-07 17:00:00+00:00,19.63,46.9,138.92,55.04,True,True,True
BTCUSDT,2023-09-07 17:00:00+00:00,25828.72,35984.99,39.322,55.38,True,True,True
SOLUSDT,2023-09-10 16:00:00+00:00,18.22,48.88,168.277,59.92,True,True,True
BNBUSDT,2023-09-10 16:00:00+00:00,212.9,256.1,20.291,57.29,True,True,True
BTCUSDT,2023-09-10 17:00:00+00:00,25791.16,37972.24,47.23,59.92,True,True,True
BTCUSDT,2023-09-10 20:00:00+00:00,25799.99,37972.24,47.179,59.79,True,True,True
XRPUSDT,2023-09-11 04:00:00+00:00,0.4969,0.7324,47.394,56.42,True,True,True
SOLUSDT,2023-09-11 15:00:00+00:00,17.6,51.93,195.057,59.88,True,True,True
BNBUSDT,2023-09-11 15:00:00+00:00,205.8,258.0,25.364,59.5,True,True,True
ETHUSDT,2023-09-11 15:00:00+00:00,1559.1,2136.99,37.066,59.54,True,True,True
BTCUSDT,2023-09-11 16:00:00+00:00,25115.98,37972.24,51.188,58.96,True,True,True
BTCUSDT,2023-09-12 04:00:00+00:00,25797.98,37972.24,47.191,58.46,True,True,True
ETHUSDT,2023-09-13 08:00:00+00:00,1584.51,2136.99,34.868,57.83,True,True,True
XRPUSDT,2023-09-13 08:00:00+00:00,0.4749,0.7324,54.222,54.25,True,True,True
BNBUSDT,2023-09-13 08:00:00+00:00,210.3,258.0,22.682,57.79,True,True,True
ETHUSDT,2023-09-15 22:00:00+00:00,1631.9,2136.99,30.951,55.25,True,True,True
